a,ln,ln/h,s,f'c,Dl,fyl,Dt,fyt,a/d,s/d,nu,rho_l,rho_t,rholfyl/fc,rhotfyt/fc,tau/fc,s/Dl,Vp/Vn,Ag/Ao,DS1,DS2,DS3,DS4,Vy,Vu,DS4/DS2
300,600,3,35,22,13,371,5,344,1.703093954,0.198694295,0.170327802,0.012667687,0.006788084,0.217393475,0.108014217,0.163855283,2.755905512,0.561332431,0.666666667,0.005836723,0.011673447,0.020692667,0.034381731,73.01,83.08,2.945293897
455,910,2.98,210,30,19,462,6,414,1.720189792,0.79395085,0.103658178,0.024383014,0.001507082,0.376432574,0.020849472,0.068676896,11.05309697,1.469968588,1.550416668,0.003853092,0.007706184,0.018562158,,120.82,213.6,
500,500,2.5,100,20,16,524,7,351,2.941132527,0.588227682,0.19220768,0.01979334,0.003318314,0.507650164,0.057111184,0.093275805,6.299212598,0.975118356,0.666664,0.002781121,0.005562242,0.011237998,0.014943209,43.43,87.75,2.686544343
500,500,2.5,100,22,16,358,7,316,2.941132527,0.588227682,0.447432834,0.0283506,0.003318314,0.463245673,0.047756528,0.091207427,6.249218848,0.800518642,0.666664,0.001874139,0.003748277,0.009820168,0.014777747,73.76,104.32,3.942543702
500,500,2.5,100,22,16,358,7,316,2.941132527,0.588227682,0.447432834,0.038000983,0.003318314,0.620931865,0.047756528,0.103110103,6.249218848,0.854845058,0.666664,0.002465885,0.00493177,0.008232156,0.012112587,88.04,106.29,2.456032353
1485,1485,2.7,300,45,25,445,11,425,3.11891171,0.630089284,0.132254979,0.019779632,0.001210766,0.195431573,0.011425249,0.037673204,11.90627381,1.042970081,5.041879336,0.002567756,0.005135512,0.009730774,0.016936437,391.67,503.58,3.29790597
1219,2438,4,127,38,19,324,6,358,2.133333333,0.222222222,0.053998177,0.025310683,0.001246586,0.21612722,0.011776796,0.047826847,6.666666667,1.098512568,4.129024,0.005439882,0.010879765,0.028083333,0.028968218,490.26,545.35,2.662577664
1000,1000,2.86,150,30,25,453,10,470,3.278552975,0.49178393,0.162208712,0.03205487,0.00299189,0.480412503,0.046522769,0.054304658,5.999999997,0.947186315,2.041806669,0.003516701,0.007033401,0.022820168,0.047483297,95.45,242.29,6.751114675
400,800,4,40,23,13,361,6,364,2.28563135,0.228563592,0.346457572,0.026546564,0.007068598,0.416596324,0.111740312,0.153481409,3.076923075,0.618121233,0.666664,0.005561629,0.011123258,0.021320168,0.039446837,102.56,122.33,3.546338332
400,800,4,50,23,13,361,6,364,2.28563135,0.28570449,0.208082626,0.026546564,0.005654878,0.416596324,0.089392243,0.115251945,3.846153843,0.72437803,0.666664,0.006005788,0.012011577,0.03016002,0.053595686,91.55,104.18,4.462002524
1219,1219,2.67,406,22,25,434,9,400,3.069486405,1.023162135,0,0.018786568,0.000953712,0.371982138,0.017404524,0.01994834,16.25599999,1.945088683,6.967728,0.001943937,0.003887874,0.01286041,0.022480682,287.35,369.45,5.782255439
400,800,4,60,20,13,361,6,364,2.28563135,0.342845388,0.346147648,0.026546564,0.007068598,0.474891373,0.127376328,0.116713343,4.615384611,0.604318952,0.666664,0.005006166,0.010012332,0.020699771,0.051854868,91.89,110.95,5.17909977
400,800,4,75,20,13,361,6,364,2.28563135,0.428556735,0.207896485,0.026546564,0.005654878,0.474891373,0.101901055,0.100215419,5.769230766,0.713582037,0.666664,0.005823175,0.01164635,0.030640081,0.054469776,92.6,100.74,4.67698239
1473,2946,6.44,457,28,32,331,9,400,3.741935484,1.161290323,0.262135599,0.030396366,0.000678195,0.364224872,0.009818066,0.034483145,14.37735849,1.507681629,3.483864,0.003322631,0.006645262,0.020771034,0.024399479,230.54,316.99,3.67171069
1473,2946,6.44,305,28,32,331,9,400,3.741935484,0.774193548,0.262135599,0.030396366,0.001736519,0.364224872,0.025139167,0.041949007,9.58490566,1.006828297,3.483864,0.004611952,0.009223904,0.022671724,0.040037021,206.21,318.99,4.340572347
1473,2946,6.44,457,27,32,331,10,400,3.74,1.161290323,0.09,0.0303,0.00068,0.372604659,0.010104186,0.025176232,14.4,1.923889382,3.483864,0.003591381,0.007182762,0.020363793,0.026055945,202.88,241.99,3.627566396
600,1200,4,100,31,13,409,6,392,2.353023209,0.392170535,0.200044894,0.017710781,0.001881446,0.235749982,0.024003163,0.068164241,7.689453125,0.941455627,1.499994,0.006180668,0.012361335,0.040600288,,197.34,214.69,
